,0,1
三亚市,18.42,109.47
海口市,19.84,110.39
北海市,21.67,109.37
珠海市,22.09,113.32
南宁市,23.05,108.48
深圳市,22.67,114.14
广州市,23.36,113.54
高雄市,22.97,120.58
台南市,23.13,120.33
昆明市,25.4,102.88
桂林市,25.35,110.53
厦门市,24.66,118.14
泉州市,25.21,118.25
安顺市,26.0,105.97
桃园市,24.96,121.24
丽江市,26.96,100.55
台北市,25.09,121.53
贵阳市,26.84,106.71
福州市,26.08,119.2
遵义市,28.17,107.09
宜宾市,28.56,104.62
林芝市,29.19,95.26
长沙市,28.23,113.15
重庆市,30.06,107.88
温州市,27.91,120.42
乐山市,29.23,103.59
岳阳市,29.08,113.27
南昌市,28.66,116.03
张家界市,29.38,110.53
九江市,29.31,115.44
景德镇市,29.27,117.25
荆州市,30.01,112.51
杭州市,29.91,119.47
拉萨市,30.04,91.1
成都市,30.64,103.95
宜昌市,30.74,111.14
黄山市,29.87,118.09
宁波市,29.71,121.5
武汉市,30.62,114.36
绵阳市,31.84,104.75
舟山市,30.08,122.25
襄阳市,31.92,111.96
芜湖市,31.18,118.18
合肥市,31.78,117.38
苏州市,31.37,120.66
上海市,31.17,121.42
南京市,31.93,118.88
扬州市,32.72,119.5
西安市,34.12,108.79
洛阳市,34.29,112.05
天水市,34.65,105.75
咸阳市,34.79,108.36
徐州市,34.38,117.5
郑州市,34.63,113.46
开封市,34.59,114.51
延安市,36.44,109.32
海东市,36.37,102.31
兰州市,36.35,103.67
临汾市,36.22,111.41
中卫市,37.02,105.51
西宁市,36.85,101.43
青岛市,36.47,120.17
吴忠市,37.44,106.58
济南市,36.64,117.25
烟台市,37.26,120.81
银川市,38.29,106.34
鄂尔多斯市,39.41,108.63
太原市,37.97,112.34
石家庄市,38.14,114.41
威海市,37.14,122.01
保定市,39.02,115.17
天津市,39.33,117.33
大同市,39.91,113.75
唐山市,39.74,118.36
大连市,39.6,122.24
呼和浩特市,40.59,111.51
北京市,40.17,116.4
包头市,41.54,110.29
承德市,41.35,117.58
哈密市,43.03,93.53
吐鲁番市,42.38,89.86
沈阳市,42.08,123.16
铁岭市,42.66,124.16
乌鲁木齐市,43.75,87.82
四平市,43.48,124.38
吉林市,43.58,126.89
长春市,44.27,125.62
哈尔滨市,45.64,127.98
大庆市,46.33,124.69
齐齐哈尔市,47.72,124.59
